0.000000000000000000e+00 2.013791409735021368e+07
4.999750012499374870e-05 2.060542233305296302e+07
9.999500024998749740e-05 2.154628864935308695e+07
1.499925003749812461e-04 2.278648266081056371e+07
1.999900004999749948e-04 2.390065053913195059e+07
2.499875006249687435e-04 2.634330333344074711e+07
2.999850007499624922e-04 2.872439240958483145e+07
3.499825008749562409e-04 3.191523262190690637e+07
3.999800009999499896e-04 3.661346512440500408e+07
4.499775011249437383e-04 3.941023807458198816e+07
4.999750012499374870e-04 4.952953520385187119e+07
5.499725013749311815e-04 5.551747361796493083e+07
5.999700014999249844e-04 5.895336969534227997e+07
6.499675016249187873e-04 6.732987370556123555e+07
6.999650017499124818e-04 8.900249615795214474e+07
7.499625018749061763e-04 8.797555187811091542e+07
7.999600019998999792e-04 9.464704863399994373e+07
8.499575021248937821e-04 9.167364249664804339e+07
8.999550022498874766e-04 1.172057654528346658e+08
9.499525023748812795e-04 1.109480562090923041e+08
9.999500024998749740e-04 1.235853783544171602e+08
1.049947502624868668e-03 1.605303795291706324e+08
1.099945002749862363e-03 1.650095581073392630e+08
1.149942502874856274e-03 1.938605492812923789e+08
1.199940002999849969e-03 2.061607122872013450e+08
1.249937503124843663e-03 2.174131239626878500e+08
1.299935003249837575e-03 1.905505207513117492e+08
1.349932503374831269e-03 2.178845592588244379e+08
1.399930003499824964e-03 2.540422683188636303e+08
1.449927503624818875e-03 2.828433159171290994e+08
1.499925003749812353e-03 2.900167090580864549e+08
1.549922503874806264e-03 3.341939233214916587e+08
1.599920003999799958e-03 3.413494643452742696e+08
1.649917504124793653e-03 3.994023297061149478e+08
1.699915004249787564e-03 3.774428206979968548e+08
1.749912504374781042e-03 4.088309553479041457e+08
1.799910004499774953e-03 4.561425002515396476e+08
1.849907504624768648e-03 4.861918593649989367e+08
1.899905004749762559e-03 5.141853109611130357e+08
1.949902504874756254e-03 5.258427942429403067e+08
1.999900004999749948e-03 6.135345496512591839e+08
2.049897505124743859e-03 5.558690498064619303e+08
2.099895005249737337e-03 6.028287773675628901e+08
2.149892505374731248e-03 6.336878011231561899e+08
2.199890005499724726e-03 6.473634727127016783e+08
2.249887505624718637e-03 7.185727854241513014e+08
2.299885005749712549e-03 7.221087853814663887e+08
2.349882505874706460e-03 5.934973691947065592e+08
2.399880005999699938e-03 5.926759771546562910e+08
2.449877506124693415e-03 6.049558165267391205e+08
2.499875006249687327e-03 6.410771626024656296e+08
2.549872506374681238e-03 6.315690433760380745e+08
2.599870006499675149e-03 6.593140638481043577e+08
2.649867506624669061e-03 7.097250367423964739e+08
2.699865006749662538e-03 7.573773749806343317e+08
2.749862506874656016e-03 7.275240183508580923e+08
2.799860006999649927e-03 7.030177916630414724e+08
2.849857507124643405e-03 8.550038005257067680e+08
2.899855007249637750e-03 8.790366939142196178e+08
2.949852507374631227e-03 9.179025889819840193e+08
2.999850007499624705e-03 9.915959669032735825e+08
3.049847507624618616e-03 1.031354324051190615e+09
3.099845007749612528e-03 9.859108250595148802e+08
3.149842507874606439e-03 1.022233343314249158e+09
3.199840007999599917e-03 1.010148845770518661e+09
3.249837508124593394e-03 1.066208985717784643e+09
3.299835008249587306e-03 1.185682451840751410e+09
3.349832508374581217e-03 1.168568286050784588e+09
3.399830008499575128e-03 1.210305340452640057e+09
3.449827508624568606e-03 1.195629741273869753e+09
3.499825008749562084e-03 1.327203727585147142e+09
3.549822508874556429e-03 1.239930915068302155e+09
3.599820008999549906e-03 1.151346920352950573e+09
3.649817509124543818e-03 1.149287901000081539e+09
3.699815009249537295e-03 1.068306667774952412e+09
3.749812509374530773e-03 1.061638303922318935e+09
3.799810009499525118e-03 1.126566945048214912e+09
3.849807509624518596e-03 1.106369744400732994e+09
3.899805009749512507e-03 1.230853112056420803e+09
3.949802509874505985e-03 1.389579957679176569e+09
3.999800009999499896e-03 1.479953670617501736e+09
4.049797510124493807e-03 1.681068137984972000e+09
4.099795010249487719e-03 1.843579292459764957e+09
4.149792510374480763e-03 2.174756820429332256e+09
4.199790010499474674e-03 2.435606387819360256e+09
4.249787510624468585e-03 2.732469857601584435e+09
4.299785010749462497e-03 3.066957494976869106e+09
4.349782510874456408e-03 3.069144873304261208e+09
4.399780010999449452e-03 3.389789493796942711e+09
4.449777511124443363e-03 3.802698508368322372e+09
4.499775011249437275e-03 3.857276159922119617e+09
4.549772511374431186e-03 3.624537359471775532e+09
4.599770011499425097e-03 4.112823151938849449e+09
4.649767511624418141e-03 3.982411809292431831e+09
4.699765011749412920e-03 4.825706702598010063e+09
4.749762511874405964e-03 4.696002549841590881e+09
4.799760011999399875e-03 4.718864995693987846e+09
4.849757512124393787e-03 4.363259259353413582e+09
4.899755012249386830e-03 4.178615426192045689e+09
4.949752512374381609e-03 4.471220874265995026e+09
4.999750012499374653e-03 4.588193270276789665e+09
5.049747512624368564e-03 4.649030845544183731e+09
5.099745012749362476e-03 4.367301586321324348e+09
5.149742512874356387e-03 3.992369543175888538e+09
5.199740012999350298e-03 4.117512574226618767e+09
5.249737513124343342e-03 3.652297285456989288e+09
5.299735013249338121e-03 3.521521777020768642e+09
5.349732513374331165e-03 3.421698288325556278e+09
5.399730013499325076e-03 3.393546270471068859e+09
5.449727513624318120e-03 3.281702333633387089e+09
5.499725013749312032e-03 3.465056328904837608e+09
5.549722513874306810e-03 3.562694691713097095e+09
5.599720013999299854e-03 3.068030257338786602e+09
5.649717514124293766e-03 3.148286367252862453e+09
5.699715014249286810e-03 3.474466834641695499e+09
5.749712514374280721e-03 3.318653007564451218e+09
5.799710014499275500e-03 3.272632401667361259e+09
5.849707514624268544e-03 3.109886984826994419e+09
5.899705014749262455e-03 3.133950586561063766e+09
5.949702514874256366e-03 3.130203951879314423e+09
5.999700014999249410e-03 3.003563538787786484e+09
6.049697515124244189e-03 2.525531701681139946e+09
